Measurement,Temperature
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
1,23.8
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
2,23.7
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
3,23.6
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
4,23.5
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
5,23.4
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
6,23.3
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
7,23.2
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
8,23.1
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
9,23
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
10,22.9
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
11,22.8
12,22.7
13,22.6
13,22.6
14,22.5
15,22.4
15,22.4
16,22.3
17,22.2
18,22.1
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
19,22
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
20,21.9
21,21.7
22,21.6
23,21.5
24,21.4
25,21.3
26,21.1
27,21
28,20.8
29,20.6
30,20.4
31,20.2
32,19.9
33,19.6
34,19.3
35,19.2
36,19.1
37,19
38,18.9
39,18.7
40,18.6
41,18.5
42,18.2
42,18.2
43,18.1
44,18
44,18
45,17.9
46,17.8
47,17.7
47,17.7
48,17.5
49,17.5
49,17.5
49,17.5
50,17.4
51,17.3
51,17.3
51,17.3
51,17.3
51,17.3
52,17.2
52,17.2
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
53,17.1
54,17
55,16.9
56,16.9
57,16.8
58,16.7
58,16.7
59,16.6
60,16.5
60,16.5
61,16.4
61,16.4
61,16.4
62,16.3
62,16.3
63,16.2
64,16.1
64,16.1
64,16.1
65,16
66,15.9
66,15.9
66,15.9
67,15.8
67,15.8
68,15.7
68,15.7
68,15.7
68,15.7
68,15.7
68,15.7
69,15.6
69,15.6
69,15.6
69,15.6
69,15.6
70,15.5
70,15.5
70,15.5
70,15.5
70,15.5
70,15.5
70,15.5
71,15.4
71,15.4
71,15.4
71,15.4
71,15.4
71,15.4
71,15.4
71,15.4
72,15.3
72,15.3
73,15.2
73,15.2
74,15.1
75,15
75,15
75,15
76,14.9
77,14.7
77,14.7
77,14.7
78,14.6
79,14.5
79,14.5
79,14.5
79,14.5
80,14.4
81,14.3
82,14.2
82,14.2
82,14.2
83,14.1
84,14
84,14
85,13.9
85,13.9
86,13.8
87,13.7
87,13.7
87,13.7
88,13.6
88,13.6
89,13.5
89,13.5
89,13.5
89,13.5
89,13.5
89,13.5
89,13.5
89,13.5
89,13.5
89,13.5
90,13.4
90,13.4
90,13.4
90,13.4
90,13.4
90,13.4
